Item Name,Item Rating,Total number of ratings,Item Price,Item Delivery Date,Item Url
"TREBLAB HD77 - Ultra Premium Bluetooth Speaker - Loud 360° HD Surround Sound, Wireless Dual Pairing, 25W Stereo, Loud Bass, 20H Battery, IPX6 Waterproof, Sports Outdoor, Portable Blue Tooth",4.6,7499,89.97,"Wed, Dec 15",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03903772ZYUZPOF2L4S3&url=%2FTREBLAB-HD77-Premium-Bluetooth-Speaker%2Fdp%2FB07GBDMF12%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346112%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3UH2S5IAJUAO4&qualifier=1639346112&id=693679478066353&widgetName=sp_atf
JBL Professional PRX ONE Powered Loudspeaker Line Array with 7-Channel Mixer and Built-in Effects,3.9,5,1599.0,"Wed, Dec 29",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0229310110JVUN97UYCW&url=%2FJBL-Professional-PRX-ONE-Loudspeaker%2Fdp%2FB08VCGCB6Y%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DJBL%2BSpeakers%26qid%3D1639346112%26sr%3D8-2-spons%26psc%3D1&qualifier=1639346112&id=693679478066353&widgetName=sp_atf
JBL FLIP 4 - Waterproof Portable Bluetooth Speaker - Black,4.8,36048,99.49,"Thu, Dec 16",https://www.amazon.com/JBL-Bluetooth-Portable-Stereo-Speaker/dp/B01MSYQWNY/ref=sr_1_3?keywords=JBL+Speakers&qid=1639346112&sr=8-3
"JBL FLIP 5, Waterproof Portable Bluetooth Speaker, Black (New Model)",4.8,38752,129.95,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Speaker/dp/B07QK2SPP7/ref=sr_1_4?keywords=JBL+Speakers&qid=1639346112&sr=8-4
JBL Charge 4 - Waterproof Portable Bluetooth Speaker - Black,4.8,29387,119.95,"Wed, Dec 15",https://www.amazon.com/JBL-Portable-Waterproof-Wireless-Bluetooth/dp/B07HKQ6YGX/ref=sr_1_5?keywords=JBL+Speakers&qid=1639346112&sr=8-5
JBL CLIP 3 - Waterproof Portable Bluetooth Speaker - Black,4.8,41481,47.5,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Portable-Bluetooth-Speaker/dp/B07Q6ZWMLR/ref=sr_1_6?keywords=JBL+Speakers&qid=1639346112&sr=8-6
JBL Flip 4 Waterproof Portable Bluetooth Speaker - Grey,4.8,40139,99.95,"Wed, Dec 15",https://www.amazon.com/JBL-Bluetooth-Portable-Stereo-Speaker/dp/B01N1RZC7S/ref=sr_1_7?keywords=JBL+Speakers&qid=1639346112&sr=8-7
JBL Flip 5 Waterproof Portable Wireless Bluetooth Speaker Bundle with divvi! Protective Hardshell Case - Black,4.8,11537,129.95,"Wed, Dec 15",https://www.amazon.com/JBL-Waterproof-Bluetooth-Protective-Hardshell/dp/B07T185XKB/ref=sr_1_8?keywords=JBL+Speakers&qid=1639346112&sr=8-8
"JBL Xtreme 2, Waterproof Portable Bluetooth Speaker, Black",4.7,9281,249.0,"Thu, Dec 16",https://www.amazon.com/JBL-Waterproof-portable-Bluetooth-speaker/dp/B07CVPZJTV/ref=sr_1_9?keywords=JBL+Speakers&qid=1639346112&sr=8-9
"JBL Charge 3 Waterproof Portable Bluetooth Speaker (Black), 1",4.8,30994,119.95,"Wed, Dec 15",https://www.amazon.com/JBL-JBLCHARGE3BLKAM-Waterproof-Portable-Bluetooth/dp/B01F24RHF4/ref=sr_1_10?keywords=JBL+Speakers&qid=1639346112&sr=8-10
